p0,m0,pstar,mstar,mortparms,fertparm,rho,phi,fertscale,mortscale,Y,Y.CV,Yac,Am,J,h,N.guess,span
0.750836933,0,0.760313911,0,4.163862497,,0.653500898,0,,,,,,,,,,
0.750836933,0,0.760313911,0,4.163862497,,0.653500898,0,,,,,,,,,,
0.750836933,0,0.760313911,0,4.163862497,,0.653500898,0,,,,,,,,,,
0.750836933,0,0.760313911,0,4.163862497,,0.653500898,0,,,,,,,,,,
0.636820021,0,0.651645485,0,4.73668746,,0.653500898,0,,,,,,,,,,
0.636820021,0,0.651645485,0,4.73668746,,0.653500898,0,,,,,,,,,,
0.636820021,0,0.651645485,0,4.73668746,,0.653500898,0,,,,,,,,,,
0.636820021,0,0.651645485,0,4.73668746,,0.653500898,0,,,,,,,,,,
0.636820021,0,0.651645485,0,4.73668746,,0.653500898,0,,,,,,,,,,
0.491334218,0,0.502772705,0,4.73668746,,0.653500898,0,,,,,,,,,,
0.491334218,0,0.502772705,0,4.73668746,,0.653500898,0,,,,,,,,,,
0.491334218,0,0.502772705,0,4.73668746,,0.653500898,0,,,,,,,,,,
0.491334218,0,0.502772705,0,4.73668746,,0.653500898,0,,,,,,,,,,
0.491334218,0,0.502772705,0,4.73668746,,0.653500898,0,,,,,,,,,,
0.326586913,0,0.334190007,0,4.73668746,,0.653500898,0,,,,,,,,,,
0.326586913,0,0.334190007,0,4.73668746,,0.653500898,0,,,,,,,,,,
0.326586913,0,0.334190007,0,4.73668746,,0.653500898,0,,,,,,,,,,
